date,cases
2020-03-11,0.0
2020-03-12,12.0
2020-03-13,15.0
2020-03-14,10.0
2020-03-15,17.0
2020-03-16,24.0
2020-03-17,13.0
2020-03-18,22.0
2020-03-19,47.0
2020-03-20,52.0
2020-03-21,59.0
2020-03-22,46.0
2020-03-23,68.0
2020-03-24,199.0
2020-03-25,343.0
2020-03-26,268.0
2020-03-27,431.0
2020-03-28,466.0
2020-03-29,294.0
2020-03-30,415.0
2020-03-31,567.0
2020-04-01,584.0
2020-04-02,669.0
2020-04-03,726.0
2020-04-04,666.0
2020-04-05,465.0
2020-04-06,700.0
2020-04-07,763.0
2020-04-08,899.0
2020-04-09,1170.0
2020-04-10,1104.0
2020-04-11,996.0
2020-04-12,1475.0
2020-04-13,732.0
2020-04-14,695.0
2020-04-15,987.0
2020-04-16,1286.0
2020-04-17,1147.0
2020-04-18,1137.0
2020-04-19,948.0
2020-04-20,927.0
2020-04-21,825.0
2020-04-22,1014.0
2020-04-23,1638.0
2020-04-24,2380.0
2020-04-25,1259.0
2020-04-26,836.0
2020-04-27,755.0
2020-04-28,890.0
2020-04-29,914.0
2020-04-30,956.0
2020-05-01,973.0
2020-05-02,874.0
2020-05-03,586.0
2020-05-04,653.0
2020-05-05,539.0
2020-05-06,794.0
2020-05-07,724.0
2020-05-08,622.0
2020-05-09,554.0
2020-05-10,507.0
2020-05-11,314.0
2020-05-12,319.0
2020-05-13,464.0
2020-05-14,603.0
2020-05-15,490.0
2020-05-16,631.0
2020-05-17,441.0
2020-05-18,458.0
2020-05-19,354.0
2020-05-20,383.0
2020-05-21,433.0
2020-05-22,279.0
2020-05-23,293.0
2020-05-24,384.0
2020-05-25,197.0
2020-05-26,134.0
2020-05-27,185.0
2020-05-28,292.0
2020-05-29,243.0
2020-05-30,296.0
2020-05-31,289.0
2020-06-01,2089.0
2020-06-02,141.0
2020-06-03,217.0
2020-06-04,151.0
2020-06-05,187.0
2020-06-06,243.0
2020-06-07,138.0
2020-06-08,87.0
2020-06-09,110.0
2020-06-10,97.0
2020-06-11,238.0
2020-06-12,166.0
2020-06-13,149.0
2020-06-14,81.0
2020-06-15,37.0
2020-06-16,95.0
2020-06-17,160.0
2020-06-18,131.0
2020-06-19,100.0
2020-06-20,136.0
2020-06-21,64.0
2020-06-22,67.0
2020-06-23,104.0
2020-06-24,91.0
2020-06-25,106.0
2020-06-26,106.0
2020-06-27,155.0
2020-06-28,113.0
2020-06-29,41.0
2020-06-30,45.0
2020-07-01,88.0
2020-07-02,96.0
2020-07-03,130.0
2020-07-04,86.0
2020-07-05,64.0
2020-07-06,80.0
2020-07-07,106.0
2020-07-08,162.0
2020-07-09,145.0
2020-07-10,104.0
2020-07-11,140.0
2020-07-12,98.0
2020-07-13,117.0
2020-07-14,153.0
2020-07-15,107.0
2020-07-16,95.0
2020-07-17,131.0
2020-07-18,173.0
2020-07-19,164.0
2020-07-20,130.0
2020-07-21,124.0
2020-07-22,143.0
2020-07-23,121.0
2020-07-24,174.0
2020-07-25,133.0
2020-07-26,189.0
2020-07-27,123.0
2020-07-28,100.0
2020-07-29,245.0
2020-07-30,222.0
2020-07-31,274.0
2020-08-01,221.0
2020-08-02,207.0
2020-08-03,79.0
2020-08-04,284.0
2020-08-05,221.0
2020-08-06,126.0
2020-08-07,223.0
2020-08-08,199.0
2020-08-09,159.0
2020-08-10,155.0
2020-08-11,226.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,939.0
2020-08-20,142.0
2020-08-21,221.0
2020-08-22,41.0
2020-08-23,0.0
2020-08-24,340.0
2020-08-25,183.0
2020-08-26,152.0
2020-08-27,191.0
2020-08-28,221.0
2020-08-29,216.0
2020-08-30,94.0
