date,deaths
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,1.0
2020-03-21,1.0
2020-03-22,1.0
2020-03-23,2.0
2020-03-24,1.0
2020-03-25,1.0
2020-03-26,5.0
2020-03-27,5.0
2020-03-28,3.0
2020-03-29,2.0
2020-03-30,5.0
2020-03-31,12.0
2020-04-01,13.0
2020-04-02,20.0
2020-04-03,15.0
2020-04-04,6.0
2020-04-05,5.0
2020-04-06,13.0
2020-04-07,36.0
2020-04-08,25.0
2020-04-09,29.0
2020-04-10,47.0
2020-04-11,51.0
2020-04-12,31.0
2020-04-13,46.0
2020-04-14,57.0
2020-04-15,84.0
2020-04-16,82.0
2020-04-17,82.0
2020-04-18,84.0
2020-04-19,91.0
2020-04-20,72.0
2020-04-21,75.0
2020-04-22,121.0
2020-04-23,102.0
2020-04-24,99.0
2020-04-25,95.0
2020-04-26,92.0
2020-04-27,65.0
2020-04-28,71.0
2020-04-29,142.0
2020-04-30,78.0
2020-05-01,89.0
2020-05-02,70.0
2020-05-03,83.0
2020-05-04,38.0
2020-05-05,64.0
2020-05-06,96.0
2020-05-07,66.0
2020-05-08,64.0
2020-05-09,69.0
2020-05-10,68.0
2020-05-11,52.0
2020-05-12,12.0
2020-05-13,68.0
2020-05-14,75.0
2020-05-15,43.0
2020-05-16,42.0
2020-05-17,39.0
2020-05-18,27.0
2020-05-19,35.0
2020-05-20,50.0
2020-05-21,32.0
2020-05-22,35.0
2020-05-23,28.0
2020-05-24,25.0
2020-05-25,12.0
2020-05-26,20.0
2020-05-27,23.0
2020-05-28,22.0
2020-05-29,40.0
2020-05-30,24.0
2020-05-31,28.0
2020-06-01,80.0
2020-06-02,23.0
2020-06-03,24.0
2020-06-04,22.0
2020-06-05,16.0
2020-06-06,11.0
2020-06-07,9.0
2020-06-08,16.0
2020-06-09,17.0
2020-06-10,9.0
2020-06-11,13.0
2020-06-12,20.0
2020-06-13,6.0
2020-06-14,21.0
2020-06-15,10.0
2020-06-16,4.0
2020-06-17,35.0
2020-06-18,13.0
2020-06-19,13.0
2020-06-20,13.0
2020-06-21,15.0
2020-06-22,5.0
2020-06-23,5.0
2020-06-24,20.0
2020-06-25,12.0
2020-06-26,24.0
2020-06-27,17.0
2020-06-28,6.0
2020-06-29,13.0
2020-06-30,-23.0
2020-07-01,16.0
2020-07-02,16.0
2020-07-03,5.0
2020-07-04,9.0
2020-07-05,4.0
2020-07-06,4.0
2020-07-07,7.0
2020-07-08,15.0
2020-07-09,14.0
2020-07-10,14.0
2020-07-11,8.0
2020-07-12,6.0
2020-07-13,5.0
2020-07-14,5.0
2020-07-15,10.0
2020-07-16,9.0
2020-07-17,8.0
2020-07-18,14.0
2020-07-19,4.0
2020-07-20,2.0
2020-07-21,4.0
2020-07-22,7.0
2020-07-23,5.0
2020-07-24,6.0
2020-07-25,4.0
2020-07-26,5.0
2020-07-27,2.0
2020-07-28,6.0
2020-07-29,14.0
2020-07-30,7.0
2020-07-31,6.0
2020-08-01,9.0
2020-08-02,5.0
2020-08-03,4.0
2020-08-04,7.0
2020-08-05,1.0
2020-08-06,15.0
2020-08-07,8.0
2020-08-08,6.0
2020-08-09,2.0
2020-08-10,2.0
2020-08-11,3.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,49.0
2020-08-20,3.0
2020-08-21,3.0
2020-08-22,6.0
2020-08-23,0.0
2020-08-24,13.0
2020-08-25,4.0
2020-08-26,10.0
2020-08-27,11.0
2020-08-28,4.0
2020-08-29,5.0
2020-08-30,5.0
2020-08-31,5.0
2020-09-01,2.0
2020-09-02,0.0
